Sl. No.,State/UT,Sanctioned details (Rs. in Cr) - 2018-19,Sanctioned details (Rs. in Cr) - 2019-20,Sanctioned details (Rs. in Cr) - 2020-21,Total Sanction (Rs. in Cr),average total sacntion
18,Maharashtra,4576,9052,17888,31516,
11,Haryana,10852,4626,8857,24335,
26,Rajasthan,3453,11980,8868,24301,
5,Bihar,5161,405,17710,23276,
32,Uttar Pradesh,3672,12139,5587,21398,
10,Gujarat,1683,978,"16,213",18874,
28,Tamil Nadu,7864,3733,7134,18731,
15,Karnataka,4197,1467,11576,17240,
17,Madhya Pradesh,1402,9041,5438,15881,
16,Kerala,423,294,13815,14532,
2,Andhra Pradesh,1492,4706,7126,13324,
4,Assam,121,5833,3475,9429,
13,Jammu and Kashmir,110,1751,7149,9010,
34,West Bengal,1777,1723,5108,8608,
14,Jharkhand,2402,475,5198,8075,
29,Telangana,3179,1286,3528,7993,
8,Delhi,4135,1558,1836,7529,
19,Manipur,503,1002,5573,7078,
3,Arunachal Pradesh,4005,1163,1840,7008,
12,Himachal Pradesh,219,465,5505,6189,
22,Nagaland,257,2396,3373,6026,
23,Odisha,137,532,4456,5125,
33,Uttarakhand,1209,1055,2698,4962,
6,Chhattisgarh,29,1399,3226,4654,
25,Punjab,704,350,3173,4227,
30,Tripura,0,2506,1433,3939,
21,Mizoram,110,1479,2005,3594,
27,Sikkim,45,27,3131,3203,
31,UT Ladakh,0,799,2287,3086,
20,Meghalaya,330,108,2616,3054,
9,Goa,0,143,75,218,
7,Dadra and Nagar Haveli and Daman and Diu,136,0,0,136,
24,Puducherry,11,0,99,110,
1,Andaman and Nicobar,0,0,0,0,0
